Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
224.0.0.252-10.2.124.182-5355-51337-17,10.2.124.182,51337,224.0.0.252,5355,17,27/11/2019 01:53:35 PM,407217,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,108.05049887406469,4.911386312457486,407217.0,0.0,407217.0,407217.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.455693156228743,2.455693156228743,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
224.0.0.252-10.2.127.109-5355-58754-17,10.2.127.109,58754,224.0.0.252,5355,17,27/11/2019 01:55:35 PM,228359,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,192.67907111171445,8.75813959598702,228359.0,0.0,228359.0,228359.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4.37906979799351,4.37906979799351,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
224.0.0.252-10.2.123.244-5355-61259-17,10.2.123.244,61259,224.0.0.252,5355,17,27/11/2019 01:54:28 PM,101657,1,1,24.0,24.0,24.0,24.0,24.0,0.0,24.0,24.0,24.0,0.0,472.17604296801994,19.674001790334163,101657.0,0.0,101657.0,101657.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9.837000895167082,9.837000895167082,24.0,24.0,24.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,36.0,24.0,24.0,0,0,0,0,0,0,1,24,1,24,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
224.0.0.252-10.2.123.224-5355-57147-17,10.2.123.224,57147,224.0.0.252,5355,17,27/11/2019 01:53:25 PM,412596,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,106.64184820017644,4.8473567363716565,412596.0,0.0,412596.0,412596.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.4236783681858283,2.4236783681858283,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
224.0.0.252-10.2.123.77-5355-54779-17,10.2.123.77,54779,224.0.0.252,5355,17,27/11/2019 01:54:31 PM,421639,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,104.35467307341115,4.7433942306095975,421639.0,0.0,421639.0,421639.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.3716971153047988,2.3716971153047988,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
224.0.0.252-10.2.123.82-5355-65247-17,10.2.123.82,65247,224.0.0.252,5355,17,27/11/2019 01:57:37 PM,417477,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,105.39502775003174,4.7906830795468975,417477.0,0.0,417477.0,417477.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.3953415397734488,2.3953415397734488,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
207.194.177.177-10.2.123.223-53-50360-17,10.2.123.223,50360,207.194.177.177,53,17,27/11/2019 01:57:26 PM,4257,0,2,0.0,337.0,0,0,0,0,304.0,33.0,168.5,191.6259377015544,79163.73032652102,469.8144233027954,4257.0,0.0,4257.0,4257.0,0,0,0,0,0,4257.0,4257.0,0.0,4257.0,4257.0,0,0,0,0,0,16,0.0,469.8144233027954,33.0,304.0,123.33333333333333,156.46192295038858,24480.333333333332,0,0,0,0,0,0,0,0,0.0,185.0,0.0,168.5,0,0,0,0,0,0,0,0,2,337,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
239.255.255.250-10.2.126.172-1900-61136-17,10.2.126.172,61136,239.255.255.250,1900,17,27/11/2019 01:57:57 PM,3000812,3,1,522.0,174.0,174.0,174.0,174.0,0.0,174.0,174.0,174.0,0.0,231.93722232515734,1.3329725420986054,1000270.6666666666,1226.6659420287715,1001448.0,999000.0,2000448.0,1000224.0,1730.9974003446684,1001448.0,999000.0,0,0,0,0,0,0,0,0,0,24,8,0.999729406573954,0.33324313552465135,174.0,174.0,174.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,217.5,174.0,174.0,0,0,0,0,0,0,3,522,1,174,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
172.217.3.206-10.2.123.223-443-59534-17,10.2.123.223,59534,172.217.3.206,443,17,27/11/2019 01:55:33 PM,15048342,4,5,1047.0,2940.0,968.0,23.0,261.75,470.8392330013859,1350.0,16.0,588.0,699.74138079722,264.94613160705677,0.5980725318443719,1881042.7500000002,5294844.506600487,1.4985085E7,1.0,1.5002658E7,5000886.0,8646574.210061867,1.4985085E7,224.0,1.5048342E7,3762085.5,7502973.010304759,1.5016539E7,1.0,0,0,0,0,32,40,0.2658100141530542,0.33226251769131776,16.0,1350.0,533.7,632.5026218654486,400059.56666666665,0,0,0,0,0,0,0,0,1.0,593.0,261.75,588.0,0,0,0,0,0,0,4,1047,5,2940,-1,-1,4,0,32027.0,0.0,32027.0,32027.0,1.4985085E7,0.0,1.4985085E7,1.4985085E7,No Label
224.0.0.252-10.2.122.213-5355-59835-17,10.2.122.213,59835,224.0.0.252,5355,17,27/11/2019 01:58:14 PM,415889,1,1,25.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,0.0,120.22438679551514,4.808975471820606,415889.0,0.0,415889.0,415889.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.404487735910303,2.404487735910303,25.0,25.0,25.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,37.5,25.0,25.0,0,0,0,0,0,0,1,25,1,25,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
