Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.12-192.168.0.15-59332-443-6,192.168.0.12,59332,192.168.0.15,443,6,6/12/2019 9:24,13078520,4,4,0,0,0,0,0,0,0,0,0,0,0,0.611690008,1868360,3081413.669,8049198,1746,1.26E+07,4188260,3776609.486,8049198,502044,1.31E+07,4359506.667,7111919.769,1.26E+07,1746,0,0,0,0,128,92,0.305845004,0.305845004,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,4,0,-1,0,0,0,5025437,0,5025437,5025437,8049198,0,8049198,8049198,ModifiedHuLK
192.168.0.12-192.168.0.15-64749-443-6,192.168.0.12,64749,192.168.0.15,443,6,6/12/2019 9:20,2314254,4,6,0,0,0,0,0,0,0,0,0,0,0,4.321046869,257139.3333,301643.3391,602389,2807,1702189,567396.3333,50708.41383,604483,509613,2314254,462850.8,257999.8919,606226,6757,0,0,0,0,128,132,1.728418747,2.592628121,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,ModifiedHuLK
192.168.0.12-192.168.0.15-53382-443-6,192.168.0.12,53382,192.168.0.15,443,6,6/12/2019 9:22,13196117,4,4,0,0,0,0,0,0,0,0,0,0,0,0.606238941,1885159.571,3054900.927,8008499,1656,1.26E+07,4204679.333,3708457.625,8008499,599574,1.32E+07,4398705.667,7120429.009,1.26E+07,1656,0,0,0,0,128,92,0.303119471,0.303119471,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,4,0,-1,0,0,0,5183911,0,5183911,5183911,8008499,0,8008499,8008499,ModifiedHuLK
192.168.0.12-192.168.0.15-56552-443-6,192.168.0.12,56552,192.168.0.15,443,6,6/12/2019 9:23,2480301,4,6,0,0,0,0,0,0,0,0,0,0,0,4.031768725,275589,322632.48,694497,4138,1903001,634333.6667,57833.03261,701104,599973,2480301,496060.2,279167.5732,699667,4138,0,0,0,0,128,132,1.61270749,2.419061235,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,ModifiedHuLK
192.168.0.12-192.168.0.15-51930-443-6,192.168.0.12,51930,192.168.0.15,443,6,6/12/2019 9:21,9538144,4,5,0,0,0,0,0,0,0,0,0,0,0,0.943579799,1192268,2765298.305,8008044,1544,9020084,3006694.667,4331295.605,8008044,505520,9538144,2384536,4093005.34,8513439,1544,0,0,0,0,128,112,0.4193688,0.524211,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,5,0,-1,0,0,0,1527700,0,1527700,1527700,8008044,0,8008044,8008044,ModifiedHuLK
192.168.0.12-192.168.0.15-53111-443-6,192.168.0.12,53111,192.168.0.15,443,6,6/12/2019 9:22,5843594,4,5,0,0,0,0,0,0,0,0,0,0,0,1.540148066,730449.25,1356925.878,4003048,1385,5201029,1733676.333,1967332.963,4003048,510316,5843594,1460898.5,2058116.173,4512067,1385,0,0,0,0,128,112,0.684510252,0.855637815,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,5,0,-1,0,0,0,0,0,0,0,0,0,0,0,ModifiedHuLK
192.168.0.12-192.168.0.15-60558-443-6,192.168.0.12,60558,192.168.0.15,443,6,6/12/2019 9:24,2435563,4,6,0,0,0,0,0,0,0,0,0,0,0,4.105826866,270618.1111,321320.268,686920,1519,1795697,598565.6667,89370.73691,688778,510061,2435563,487112.6,279100.5962,688812,1519,0,0,0,0,128,132,1.642330747,2.46349612,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,ModifiedHuLK
192.168.0.12-192.168.0.15-63776-443-6,192.168.0.12,63776,192.168.0.15,443,6,6/12/2019 9:25,2033993,4,6,0,0,0,0,0,0,0,0,0,0,0,4.916437766,225999.2222,265533.666,508982,1442,1529543,509847.6667,990.4960037,510956,509049,2033993,406798.6,226484.6257,510424,1677,0,0,0,0,128,132,1.966575106,2.949862659,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,ModifiedHuLK
192.168.0.12-192.168.0.15-63831-443-6,192.168.0.12,63831,192.168.0.15,443,6,6/12/2019 9:25,2040430,4,5,0,0,0,0,0,0,0,0,0,0,0,4.410834971,255053.75,270170.2815,515449,1396,1523585,507861.6667,2450.6661,509514,505046,1532578,383144.5,254581.7535,519377,1396,0,0,0,0,128,112,1.960371098,2.450463873,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,5,0,-1,0,0,0,0,0,0,0,0,0,0,0,ModifiedHuLK
192.168.0.12-192.168.0.15-65346-443-6,192.168.0.12,65346,192.168.0.15,443,6,6/12/2019 9:25,2201647,4,6,0,0,0,0,0,0,0,0,0,0,0,4.542054199,244627.4444,287136.7552,586082,1576,1609221,536407,45766.85535,589254,509952,2201647,440329.4,248152.7398,588998,1576,0,0,0,0,128,132,1.816821679,2.725232519,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,ModifiedHuLK
